2025-04-10 12:07:46,978 - INFO - Simulation started with 15 sheep and 50 rounds.
2025-04-10 12:07:46,978 - DEBUG - Round 1 started.
2025-04-10 12:07:46,978 - DEBUG - Sheep moved to (-7.99, -5.58).
2025-04-10 12:07:46,978 - DEBUG - Sheep moved to (-0.80, 0.49).
2025-04-10 12:07:46,979 - DEBUG - Sheep moved to (-9.35, 7.71).
2025-04-10 12:07:46,979 - DEBUG - Sheep moved to (-1.04, -7.02).
2025-04-10 12:07:46,979 - DEBUG - Sheep moved to (6.79, 8.15).
2025-04-10 12:07:46,979 - DEBUG - Sheep moved to (3.14, -1.73).
2025-04-10 12:07:46,979 - DEBUG - Sheep moved to (9.79, -3.16).
2025-04-10 12:07:46,979 - DEBUG - Sheep moved to (-3.08, -3.29).
2025-04-10 12:07:46,979 - DEBUG - Sheep moved to (2.43, -9.46).
2025-04-10 12:07:46,979 - DEBUG - Sheep moved to (-7.53, 3.25).
2025-04-10 12:07:46,979 - DEBUG - Sheep moved to (6.88, 5.22).
2025-04-10 12:07:46,979 - DEBUG - Sheep moved to (-0.81, 3.58).
2025-04-10 12:07:46,979 - DEBUG - Sheep moved to (-7.32, 1.65).
2025-04-10 12:07:46,979 - DEBUG - Sheep moved to (-0.42, -0.80).
2025-04-10 12:07:46,979 - DEBUG - Sheep moved to (0.10, 9.49).
2025-04-10 12:07:46,980 - INFO - Wolf chasing sheep at (-0.42, -0.80).
2025-04-10 12:07:49,930 - DEBUG - Round 2 started.
2025-04-10 12:07:49,930 - DEBUG - Sheep moved to (-7.49, -5.58).
2025-04-10 12:07:49,930 - DEBUG - Sheep moved to (-0.80, -0.01).
2025-04-10 12:07:49,930 - DEBUG - Sheep moved to (-8.85, 7.71).
2025-04-10 12:07:49,931 - DEBUG - Sheep moved to (-1.54, -7.02).
2025-04-10 12:07:49,931 - DEBUG - Sheep moved to (7.29, 8.15).
2025-04-10 12:07:49,931 - DEBUG - Sheep moved to (3.64, -1.73).
2025-04-10 12:07:49,931 - DEBUG - Sheep moved to (10.29, -3.16).
2025-04-10 12:07:49,931 - DEBUG - Sheep moved to (-3.08, -2.79).
2025-04-10 12:07:49,931 - DEBUG - Sheep moved to (2.43, -9.96).
2025-04-10 12:07:49,931 - DEBUG - Sheep moved to (-8.03, 3.25).
2025-04-10 12:07:49,932 - DEBUG - Sheep moved to (6.88, 4.72).
2025-04-10 12:07:49,932 - DEBUG - Sheep moved to (-0.81, 4.08).
2025-04-10 12:07:49,932 - DEBUG - Sheep moved to (-7.82, 1.65).
2025-04-10 12:07:49,932 - DEBUG - Sheep moved to (0.10, 9.99).
2025-04-10 12:07:49,932 - INFO - Wolf chasing sheep at (-0.80, -0.01).
2025-04-10 12:07:50,818 - DEBUG - Round 3 started.
2025-04-10 12:07:50,819 - DEBUG - Sheep moved to (-7.49, -5.08).
2025-04-10 12:07:50,819 - DEBUG - Sheep moved to (-8.85, 8.21).
2025-04-10 12:07:50,819 - DEBUG - Sheep moved to (-1.54, -6.52).
2025-04-10 12:07:50,819 - DEBUG - Sheep moved to (6.79, 8.15).
2025-04-10 12:07:50,819 - DEBUG - Sheep moved to (3.64, -2.23).
2025-04-10 12:07:50,820 - DEBUG - Sheep moved to (10.79, -3.16).
2025-04-10 12:07:50,820 - DEBUG - Sheep moved to (-3.08, -2.29).
2025-04-10 12:07:50,820 - DEBUG - Sheep moved to (2.43, -9.46).
2025-04-10 12:07:50,820 - DEBUG - Sheep moved to (-8.53, 3.25).
2025-04-10 12:07:50,820 - DEBUG - Sheep moved to (6.88, 4.22).
2025-04-10 12:07:50,820 - DEBUG - Sheep moved to (-0.81, 4.58).
2025-04-10 12:07:50,820 - DEBUG - Sheep moved to (-8.32, 1.65).
2025-04-10 12:07:50,821 - DEBUG - Sheep moved to (-0.40, 9.99).
2025-04-10 12:07:50,821 - INFO - Wolf chasing sheep at (-3.08, -2.29).
2025-04-10 12:07:51,011 - DEBUG - Round 4 started.
2025-04-10 12:07:51,011 - DEBUG - Sheep moved to (-7.99, -5.08).
2025-04-10 12:07:51,011 - DEBUG - Sheep moved to (-9.35, 8.21).
2025-04-10 12:07:51,012 - DEBUG - Sheep moved to (-2.04, -6.52).
2025-04-10 12:07:51,012 - DEBUG - Sheep moved to (7.29, 8.15).
2025-04-10 12:07:51,012 - DEBUG - Sheep moved to (3.14, -2.23).
2025-04-10 12:07:51,012 - DEBUG - Sheep moved to (10.29, -3.16).
2025-04-10 12:07:51,012 - DEBUG - Sheep moved to (-3.58, -2.29).
2025-04-10 12:07:51,012 - DEBUG - Sheep moved to (1.93, -9.46).
2025-04-10 12:07:51,012 - DEBUG - Sheep moved to (-8.53, 2.75).
2025-04-10 12:07:51,012 - DEBUG - Sheep moved to (7.38, 4.22).
2025-04-10 12:07:51,012 - DEBUG - Sheep moved to (-1.31, 4.58).
2025-04-10 12:07:51,012 - DEBUG - Sheep moved to (-8.32, 2.15).
2025-04-10 12:07:51,013 - DEBUG - Sheep moved to (-0.40, 10.49).
2025-04-10 12:07:51,013 - INFO - Wolf chasing sheep at (-3.58, -2.29).
2025-04-10 12:07:51,141 - DEBUG - Round 5 started.
2025-04-10 12:07:51,141 - DEBUG - Sheep moved to (-7.99, -4.58).
2025-04-10 12:07:51,142 - DEBUG - Sheep moved to (-9.35, 7.71).
2025-04-10 12:07:51,142 - DEBUG - Sheep moved to (-2.04, -6.02).
2025-04-10 12:07:51,142 - DEBUG - Sheep moved to (7.29, 8.65).
2025-04-10 12:07:51,142 - DEBUG - Sheep moved to (3.64, -2.23).
2025-04-10 12:07:51,142 - DEBUG - Sheep moved to (10.79, -3.16).
2025-04-10 12:07:51,142 - DEBUG - Sheep moved to (-3.08, -2.29).
2025-04-10 12:07:51,142 - DEBUG - Sheep moved to (1.93, -8.96).
2025-04-10 12:07:51,142 - DEBUG - Sheep moved to (-8.03, 2.75).
2025-04-10 12:07:51,142 - DEBUG - Sheep moved to (6.88, 4.22).
2025-04-10 12:07:51,143 - DEBUG - Sheep moved to (-1.31, 4.08).
2025-04-10 12:07:51,143 - DEBUG - Sheep moved to (-8.32, 2.65).
2025-04-10 12:07:51,143 - DEBUG - Sheep moved to (-0.90, 10.49).
2025-04-10 12:07:51,143 - INFO - Wolf chasing sheep at (-3.08, -2.29).
2025-04-10 12:07:51,646 - DEBUG - Round 6 started.
2025-04-10 12:07:51,647 - DEBUG - Sheep moved to (-7.99, -5.08).
2025-04-10 12:07:51,647 - DEBUG - Sheep moved to (-9.85, 7.71).
2025-04-10 12:07:51,647 - DEBUG - Sheep moved to (-1.54, -6.02).
2025-04-10 12:07:51,647 - DEBUG - Sheep moved to (7.79, 8.65).
2025-04-10 12:07:51,647 - DEBUG - Sheep moved to (3.64, -1.73).
2025-04-10 12:07:51,647 - DEBUG - Sheep moved to (11.29, -3.16).
2025-04-10 12:07:51,647 - DEBUG - Sheep moved to (-3.08, -1.79).
2025-04-10 12:07:51,648 - DEBUG - Sheep moved to (1.93, -9.46).
2025-04-10 12:07:51,648 - DEBUG - Sheep moved to (-8.03, 3.25).
2025-04-10 12:07:51,648 - DEBUG - Sheep moved to (6.38, 4.22).
2025-04-10 12:07:51,648 - DEBUG - Sheep moved to (-1.81, 4.08).
2025-04-10 12:07:51,648 - DEBUG - Sheep moved to (-7.82, 2.65).
2025-04-10 12:07:51,648 - DEBUG - Sheep moved to (-1.40, 10.49).
